Number,Reaction,(E/R)/K,E/kcal mol⁻¹,E/KJ mol⁻¹,A,k,n,Temp./K,Radical Source,System,Reference,Notes,Reference_Text
546,O+NO₂+M→NO₃+M,,,,,3.63E-35,0,200,,,192,200,"DeMore, W. B., Molina, M. J., Watson, R. T., Golden, D. M., Hampson, R. F., Kurylo, M. J., Howard, C. J., and Ravishankara, A. R., Chemical Kinetics and Photochemical Data for Use in Stratospheric Modeling, JPL Publ., Pasadena, Calif., 1983, 83."
547,O+NO₂+M→NO₃+M,,,,,8.27E-32,-2,200,,,191,200,"Baulch, D. L., Cox, R. A., Hampson, R. F., Kerr, J. A., Troe, J., and Watson, R. T., J. Phys. Chem. Ref. Data, 13, 1259, 1984."
548,O+NO₂+M→NO₃+M,,,,,3.63E-35,0,200,,,191,182,"Baulch, D. L., Cox, R. A., Hampson, R. F., Kerr, J. A., Troe, J., and Watson, R. T., J. Phys. Chem. Ref. Data, 13, 1259, 1984."
549,O+NO₂+M→NO₃+M,,,,,8.27E-32,-2,300,,,192,200,"DeMore, W. B., Molina, M. J., Watson, R. T., Golden, D. M., Hampson, R. F., Kurylo, M. J., Howard, C. J., and Ravishankara, A. R., Chemical Kinetics and Photochemical Data for Use in Stratospheric Modeling, JPL Publ., Pasadena, Calif., 1983, 83."
550,O+NO₂+M→NO₃+M,,,,,3.63E-35,0,300,,,192,202,"DeMore, W. B., Molina, M. J., Watson, R. T., Golden, D. M., Hampson, R. F., Kurylo, M. J., Howard, C. J., and Ravishankara, A. R., Chemical Kinetics and Photochemical Data for Use in Stratospheric Modeling, JPL Publ., Pasadena, Calif., 1983, 83."
551,O+NO₂+M→NO₃+M,,,,,8.27E-32,-2,400,,,191,"200,201,207","Baulch, D. L., Cox, R. A., Hampson, R. F., Kerr, J. A., Troe, J., and Watson, R. T., J. Phys. Chem. Ref. Data, 13, 1259, 1984."
552,O+NO₂+M→NO₃+M,,,,,3.63E-35,0,400,,,191,"193,200,201,208","Baulch, D. L., Cox, R. A., Hampson, R. F., Kerr, J. A., Troe, J., and Watson, R. T., J. Phys. Chem. Ref. Data, 13, 1259, 1984."
553,H+CH₃+He→CH₄+He,,,,,1.45E-29,0,295,H₂/He discharge/C₂H₄ (T),,173,"200,207,209","Pratt, G. and Veltman, I., J. Chem. Soc., Faraday Trans. 1, 70, 1840, 1974. 4a. Pratt, G. and Veltman, I., J. Chem. Soc., Faraday Trans. 1, 72, 1733, 1976."
554,H+CH₃+NO→CH₄+NO,,,,,5.50E-28,0,295,H₂/He discharge/C₂H₄ (T),,201,"200,207,208","Pratt, G. and Veltman, I., J. Chem. Soc., Faraday Trans. 1, 70, 1840, 1974. 4a. Pratt, G. and Veltman, I., J. Chem. Soc., Faraday Trans. 1, 72, 1733, 1976."
555,H+HO+H₂O→H₂O+H₂O,,,,,3.81E-25,-2,1000,,,203,"200,207,209","Baulch, D. L., Drysdale, D. D., Horne, D. G., and Lloyd, A. C., Evaluated Kinetic Data for High Temperature Reactions, Vol. 1, Butterworths, Lon- don, 1972."
556,H+HO+H₂O→H₂O+H₂O,,,,,3.81E-25,-2,3000,,,203,"200,207,208","Baulch, D. L., Drysdale, D. D., Horne, D. G., and Lloyd, A. C., Evaluated Kinetic Data for High Temperature Reactions, Vol. 1, Butterworths, Lon- don, 1972."
557,H+HO+He→H₂O+He,,,,,4.41E-25,-2.6,230,H₂/He discharge/NO₂,,204a,195,"Zellner, R., Erler, K., and Field, D., 16th Symp. (Int.) Combust., The Combustion Institute, Pittsburgh, 1977, 939."
558,H+HO+He→H₂O+He,,,,,4.41E-25,-2.6,300,H₂/He discharge/NO₂,,204a,195,"Zellner, R., Erler, K., and Field, D., 16th Symp. (Int.) Combust., The Combustion Institute, Pittsburgh, 1977, 939."
559,H+HO+Ar→H₂O+Ar,,,,,2.29E-31,0,300,H₂/He discharge/NO₂,,204a,"194,196","Zellner, R., Erler, K., and Field, D., 16th Symp. (Int.) Combust., The Combustion Institute, Pittsburgh, 1977, 939."
560,H+HO+N₂→H₂O+N₂,,,,,4.79E-31,0,300,H₂/He discharge/NO₂,,204a,,"Zellner, R., Erler, K., and Field, D., 16th Symp. (Int.) Combust., The Combustion Institute, Pittsburgh, 1977, 939."
561,H+HO+CO₂→H₂O+CO₂,,,,,8.92E-31,0,300,H₂/He discharge/NO₂,,204a,"194,197","Zellner, R., Erler, K., and Field, D., 16th Symp. (Int.) Combust., The Combustion Institute, Pittsburgh, 1977, 939."
562,H+HO+H₂→H₂O+H₂,,,,,2.46E-32,0,873,H₂/N₂O/He (T),,205,"194,197","Baldwin, R. R., Gethin, A., Plaistowe, J., and Walker, R. W., J. Chem. Soc., Faraday Trans. 1,71, 1265, 1975."
563,H+HO+H₂→H₂O+H₂,,-0.5,-2.4,1.48E-32,,,230,,,206,,"Baulch, D. L., Drysdale, D. D., Horne, D. G., and Lloyd, A. C., Evaluated Kinetic Data for High Temperature Reactions, Vol. II, Butterworths, Lon- don, 1973."
564,H+HO+H₂→H₂O+H₂,,-0.5,-2.4,1.48E-32,,,700,,,206,,"Baulch, D. L., Drysdale, D. D., Horne, D. G., and Lloyd, A. C., Evaluated Kinetic Data for High Temperature Reactions, Vol. II, Butterworths, Lon- don, 1973."
565,H+HO+H₂→H₂O+H₂,,,,,6.03E-32,0,294,H₂/Hg*,,207,,"Michael, J. V. and Osborne, D. R., J. Chem. Phys., 57, 3736, 1972."
566,H+HO+H₂→H₂O+H₂,,,,,4.27E-32,0,298,H₂/Hg*,,207a,,"Oka, K., Singleton, D. L., and Cvetanovic, R. J., J. Chem. Phys., 66, 713, 1977."
567,H+HO+H₂→H₂O+H₂,,0.7,3,1.26E-32,,,298,H₂/Hg*,,207b,,"Oka, K., Singleton, D. L., and Cvetanović, R. J., J. Chem. Phys., 67, 4681, 1977."
568,H+HO+H₂→H₂O+H₂,,0.7,3,1.26E-32,,,477,H₂/Hg*,,207b,195,"Oka, K., Singleton, D. L., and Cvetanović, R. J., J. Chem. Phys., 67, 4681, 1977."
569,H+NO+NO→HNO+NO,,,,,5.25E-32,0,298,H₂/Hg*,,207b,197,"Oka, K., Singleton, D. L., and Cvetanović, R. J., J. Chem. Phys., 67, 4681, 1977."
570,H+NO+N₂→HNO+N₂,,,,,3.89E-32,0,392,"N+NO→N₂+O
O/NO/H₂/N₂ (T)",,208,197,"Campbell, I. M. and Hardy, B. J., J. Chem. Soc., Faraday Trans. 1, 71, 2097, 1975."
571,H+NO+Ar→HNO+Ar,,,,,2.40E-32,0,392,"N+NO→N₂+O
O/NO/H₂/Ar (T)",,208,199,"Campbell, I. M. and Hardy, B. J., J. Chem. Soc., Faraday Trans. 1, 71, 2097, 1975."
572,H+NO+Kr→HNO+Kr,,,,,5.38E-32,0,294,H₂/Hg*,,207,209,"Michael, J. V. and Osborne, D. R., J. Chem. Phys., 57, 3736, 1972."
573,H+NO+He→HNO+He,,,,,4.27E-32,0,294,H₂/Hg*,,207,209,"Michael, J. V. and Osborne, D. R., J. Chem. Phys., 57, 3736, 1972."
574,H+NO+Ar→HNO+Ar,,,,,3.89E-32,0,294,H₂/Hg*,,207,209,"Michael, J. V. and Osborne, D. R., J. Chem. Phys., 57, 3736, 1972."
575,H+NO+Ne→HNO+Ne,,,,,2.09E-32,0,294,H₂/Hg*,,207,209,"Michael, J. V. and Osborne, D. R., J. Chem. Phys., 57, 3736, 1972."
576,H+NH₂+Ar→NH₃+Ar,,-7.56,-31.59,,1.32E-33,0,2000,,,206,200,"Baulch, D. L., Drysdale, D. D., Horne, D. G., and Lloyd, A. C., Evaluated Kinetic Data for High Temperature Reactions, Vol. II, Butterworths, Lon- don, 1973."
577,H+NH₂+Ar→NH₃+Ar,,-7.56,-31.59,,1.32E-33,0,3000,,,206,201,"Baulch, D. L., Drysdale, D. D., Horne, D. G., and Lloyd, A. C., Evaluated Kinetic Data for High Temperature Reactions, Vol. II, Butterworths, Lon- don, 1973."
578,F+NF₂+He→NF₃+He,,,,,8.92E-31,0,298,"N₂F₄ + 2NF₂
N+NF₂→2F+N₂",,210,202,"Clyne, M. A. A. and Watson, R. T., J. Chem. Soc., Faraday Trans. 1, 70, 1109, 1974."
579,Cl+NF₂+Ar→NF₂Cl + Ar,,,,,2.69E-31,0,293,Cl₂/Ar discharge; N₂F₄ (T),,211,202,"Clyne, M. A. A., and Connor, J., J. Chem. Soc., Faraday Trans. 2, 68, 1220, 1972."
580,Br+NF₂+Ar→NF₂Br + Ar,,,,,1.00E-31,0,293,Br₂/Ar discharge; N₂F₄ (T),,211,202,"Clyne, M. A. A., and Connor, J., J. Chem. Soc., Faraday Trans. 2, 68, 1220, 1972."
581,I+NO+He→INO+He,,,,,6.03E-33,0,330,I₂  (laser F.P.),,211a,"197,203","Van den Bergh, H., Benoit-Guyot, N., and Troe, J., Int. J. Chem. Kinet.. 9, 223, 1977."
582,I+NO+Ne→INO+Ne,,,,,8.14E-33,0,330,I₂  (laser F.P.),,211a,"197,203","Van den Bergh, H., Benoit-Guyot, N., and Troe, J., Int. J. Chem. Kinet.. 9, 223, 1977."
583,I+NO+Ar→INO+Ar,,,,,9.56E-33,0,330,I₂  (laser F.P.),,211a,194,"Van den Bergh, H., Benoit-Guyot, N., and Troe, J., Int. J. Chem. Kinet.. 9, 223, 1977."
584,I+NO₂+Xe→INO₂+Xe,,,,,2.04E-32,0,330,I₂  (F.P.),,211a,204,"Van den Bergh, H., Benoit-Guyot, N., and Troe, J., Int. J. Chem. Kinet.. 9, 223, 1977."
585,I+NO₂+H₂→INO₂+H₂,,,,,2.29E-32,0,330,I₂  (F.P.),,211a,"205,206","Van den Bergh, H., Benoit-Guyot, N., and Troe, J., Int. J. Chem. Kinet.. 9, 223, 1977."
586,I+NO₂+D₂→INO₂+D₂,,,,,1.95E-32,0,330,I₂  (F.P.),,211a,"205,206","Van den Bergh, H., Benoit-Guyot, N., and Troe, J., Int. J. Chem. Kinet.. 9, 223, 1977."
587,I+NO₂+N₂→INO₂+N₂,,,,,2.57E-32,0,330,I₂  (F.P.),,211a,,"Van den Bergh, H., Benoit-Guyot, N., and Troe, J., Int. J. Chem. Kinet.. 9, 223, 1977."
588,I+NO₂+CO→INO₂+CO,,,,,2.69E-32,0,330,I₂  (F.P.),,211a,,"Van den Bergh, H., Benoit-Guyot, N., and Troe, J., Int. J. Chem. Kinet.. 9, 223, 1977."
589,I+NO₂+O₂→INO₂+O₂,,,,,2.82E-32,0,330,I₂  (F.P.),,211a,,"Van den Bergh, H., Benoit-Guyot, N., and Troe, J., Int. J. Chem. Kinet.. 9, 223, 1977."
590,I+NO₂+N₂O→INO₂+N₂O,,,,,3.81E-32,0,330,I₂  (F.P.),,211a,215,"Van den Bergh, H., Benoit-Guyot, N., and Troe, J., Int. J. Chem. Kinet.. 9, 223, 1977."
591,I+NO₂+CO₂→INO₂+CO₂,,,,,3.55E-32,0,330,I₂  (F.P.),,211a,215,"Van den Bergh, H., Benoit-Guyot, N., and Troe, J., Int. J. Chem. Kinet.. 9, 223, 1977."
592,I+NO₂+CH₄→INO₂+CH₄,,,,,3.55E-32,0,330,I₂  (F.P.),,211a,215,"Van den Bergh, H., Benoit-Guyot, N., and Troe, J., Int. J. Chem. Kinet.. 9, 223, 1977."
593,I+NO₂+CF₄→INO₂+CF₄,,,,,3.24E-32,0,330,I₂  (F.P.),,211a,215,"Van den Bergh, H., Benoit-Guyot, N., and Troe, J., Int. J. Chem. Kinet.. 9, 223, 1977."
594,I+NO₂+C₂H₄→INO₂+C₂H₄,,,,,4.37E-32,0,330,I₂  (F.P.),,211a,215,"Van den Bergh, H., Benoit-Guyot, N., and Troe, J., Int. J. Chem. Kinet.. 9, 223, 1977."
595,I+NO₂+SF₆→INO₂+SF₆,,,,,3.24E-32,0,330,I₂  (F.P.),,211a,215,"Van den Bergh, H., Benoit-Guyot, N., and Troe, J., Int. J. Chem. Kinet.. 9, 223, 1977."
596,I+NO₂+C₂H₆→INO₂+C₂H₆,,,,,4.58E-32,0,330,I₂  (F.P.),,211a,215,"Van den Bergh, H., Benoit-Guyot, N., and Troe, J., Int. J. Chem. Kinet.. 9, 223, 1977."
597,I+NO₂+C₂F₆→INO₂+C₂F₆,,,,,4.79E-32,0,330,I₂  (F.P.),,211a,215,"Van den Bergh, H., Benoit-Guyot, N., and Troe, J., Int. J. Chem. Kinet.. 9, 223, 1977."
598,I+NO₂+C₃H₈→INO₂+C₃H₈,,,,,5.50E-32,0,330,I₂  (F.P.),,211a,215,"Van den Bergh, H., Benoit-Guyot, N., and Troe, J., Int. J. Chem. Kinet.. 9, 223, 1977."
599,I+NO₂+C₃F₈→INO₂+C₃F₈,,,,,4.90E-32,0,330,I₂  (F.P.),,211a,215,"Van den Bergh, H., Benoit-Guyot, N., and Troe, J., Int. J. Chem. Kinet.. 9, 223, 1977."
600,I+NO₂+n-C₄H₁₀→INO₂+n-C₄H₁₀,,,,,6.17E-32,0,330,I₂  (F.P.),,211a,215,"Van den Bergh, H., Benoit-Guyot, N., and Troe, J., Int. J. Chem. Kinet.. 9, 223, 1977."
601,I+NO₂+i-C₄H₁₀→INO₂+i-C₄H₁₀,,,,,5.90E-32,0,330,I₂  (F.P.),,211a,215,"Van den Bergh, H., Benoit-Guyot, N., and Troe, J., Int. J. Chem. Kinet.. 9, 223, 1977."
602,I+NO₂+neo-C₅H₁₂→INO₂+neo-C₅H₁₂,,,,,5.76E-32,0,330,I₂  (F.P.),,211a,215,"Van den Bergh, H., Benoit-Guyot, N., and Troe, J., Int. J. Chem. Kinet.. 9, 223, 1977."
603,I+NO₂+(CH₃)₃CC₂H₅→INO₂+(CH₃)₃CC₂H₅,,,,,6.77E-32,0,330,I₂  (F.P.),,211a,215,"Van den Bergh, H., Benoit-Guyot, N., and Troe, J., Int. J. Chem. Kinet.. 9, 223, 1977."
604,I+NO₂+(CH₃)₂CHCH₂CH(CH₃)₂→INO₂+M,,,,,6.93E-32,0,330,I₂  (F.P.),,211a,215,"Van den Bergh, H., Benoit-Guyot, N., and Troe, J., Int. J. Chem. Kinet.. 9, 223, 1977."
605,I+NO₂+(CH₃)₂CCH₂CH(CH₃)₂→INO₂+M,,,,,7.59E-32,0,330,I₂  (F.P.),,211a,215,"Van den Bergh, H., Benoit-Guyot, N., and Troe, J., Int. J. Chem. Kinet.. 9, 223, 1977."
606,O+NO+Ne→ NO₂+Ne,,-1,-4.2,9.34E-33,,,217,NO (F.P.),,223,215,"Michael, J. V., Payne, W. A., and Whytock, D. A., J. Chem. Phys., 65, 4830, 1976."
607,O+NO+He→ NO₂+He,,-1,-4.2,1.07E-32,,,217,NO (F.P.),,223,215,"Michael, J. V., Payne, W. A., and Whytock, D. A., J. Chem. Phys., 65, 4830, 1976."
608,O+NO+He→ NO₂+He,,-1,-4.2,1.07E-32,,,500,NO (F.P.),,223,215,"Michael, J. V., Payne, W. A., and Whytock, D. A., J. Chem. Phys., 65, 4830, 1976."
609,O+NO+Ar→ NO₂+Ar,,,,,6.46E-32,0,292,N+NO→ N₂+O,,208,215,"Campbell, I. M. and Hardy, B. J., J. Chem. Soc., Faraday Trans. 1, 71, 2097, 1975."
610,O+NO+Ar→ NO₂+Ar,,-0.9,-3.9,1.45E-32,,,298,O₂ and NO (F.P.),,208a,215,"Atkinson, R., Perry, R. A., and Pitts, J. N., Chem. Phys. Lett., 47, 197, 1977."
611,O+NO+Ar→ NO₂+Ar,,-0.9,-3.9,1.45E-32,,,439,O₂ and NO (F.P.),,208a,215,"Atkinson, R., Perry, R. A., and Pitts, J. N., Chem. Phys. Lett., 47, 197, 1977."
612,O+NO+Ar→ NO₂+Ar,,-1.2,-5,8.92E-33,,,217,NO (F.P.),,223,216,"Michael, J. V., Payne, W. A., and Whytock, D. A., J. Chem. Phys., 65, 4830, 1976."
613,O+NO+Ar→ NO₂+Ar,,-1.2,-5,8.92E-33,,,500,NO (F.P.),,223,216,"Michael, J. V., Payne, W. A., and Whytock, D. A., J. Chem. Phys., 65, 4830, 1976."
614,O+NO+Kr→ NO₂+Kr,,-1.1,-4.6,9.56E-33,,,217,NO (F.P.),,223,216,"Michael, J. V., Payne, W. A., and Whytock, D. A., J. Chem. Phys., 65, 4830, 1976."
615,O+NO+Kr→ NO₂+Kr,,-1.1,-4.6,9.56E-33,,,500,NO (F.P.),,223,216,"Michael, J. V., Payne, W. A., and Whytock, D. A., J. Chem. Phys., 65, 4830, 1976."
616,O+NO+N₂→ NO₂+N₂,,-1.8,-7.5,5.02E-33,,,285,N+NO→ N₂+O,,208,201,"Campbell, I. M. and Hardy, B. J., J. Chem. Soc., Faraday Trans. 1, 71, 2097, 1975."
617,O+NO+N₂→ NO₂+N₂,,-1.8,-7.5,5.02E-33,,,425,N+NO→ N₂+O,,208,201,"Campbell, I. M. and Hardy, B. J., J. Chem. Soc., Faraday Trans. 1, 71, 2097, 1975."
618,O+NO+N₂→ NO₂+N₂,,,,,6.46E-32,0,295,NO₂ (P),,212,201,"Hippler, H., Schippert, C., and Troe, J., Int. J. Chem. Kinet., Symp., 1, 1975, 27."
619,O+NO+N₂→ NO₂+N₂,,,,,5.02E-35,0,295,NO₂ (P),,212,216,"Hippler, H., Schippert, C., and Troe, J., Int. J. Chem. Kinet., Symp., 1, 1975, 27."
620,O+NO+N₂→ NO₂+N₂,,-1.2,-4.8,1.55E-32,,,217,NO (F.P.),,212a,216,"Whytock, D. A., Michael, J. V., and Payne, W. A., Chem. Phys. Lett., 42, 466, 1976."
621,O+NO+N₂→ NO₂+N₂,,-1.2,-4.8,1.55E-32,,,500,NO (F.P.),,212a,216,"Whytock, D. A., Michael, J. V., and Payne, W. A., Chem. Phys. Lett., 42, 466, 1976."
622,O+NO+O₂→ NO₂+O₂,,,,,7.09E-32,0,294,NO₂ (P.),,213,216,"Becker, K. H., Groth, W., and Thran, D., Chem. Phys. Lett., 15, 215, 1972."
623,O+NO+O₂/Ar→ NO₂+O₂/Ar,,-1.8,-7.8,3.02E-33,,,200,,,206,201,"Baulch, D. L., Drysdale, D. D., Horne, D. G., and Lloyd, A. C., Evaluated Kinetic Data for High Temperature Reactions, Vol. II, Butterworths, Lon- don, 1973."
624,O+NO+O₂/Ar→ NO₂+O₂/Ar,,-1.8,-7.8,3.02E-33,,,500,,,206,201,"Baulch, D. L., Drysdale, D. D., Horne, D. G., and Lloyd, A. C., Evaluated Kinetic Data for High Temperature Reactions, Vol. II, Butterworths, Lon- don, 1973."
625,O+NO+N₂O→ NO₂+N₂O,,-0.9,-3.8,2.63E-32,,,300,NO₂ (P.),,214,207,"Atkinson, R. and Pitts, J. N., Chem. Phys. Lett., 27, 467, 1974."
626,O+NO+N₂O→ NO₂+N₂O,,-0.9,-3.8,2.63E-32,,,392,NO₂ (P.),,214,"194,207,208","Atkinson, R. and Pitts, J. N., Chem. Phys. Lett., 27, 467, 1974."
627,O+NO+N₂O→ NO₂+N₂O,,,,,1.59E-31,0,299,N₂O/Hg* (P.),,215,,"Furuyama, S., Atkinson, R., Colussi, A. J., and Cvetanovic, R. J., Int. J. Chem. Kinet., 6, 741, 1974."
628,O+NO+N₂O→ NO₂+N₂O,,-1.2,-5.1,1.66E-32,,,298,N₂O/Hg* (P.),,216,,"Singleton, D. L., Furuyama, S., and Cvetanovic, R. J., J. Chem. Phys., 63, 1003, 1975."
629,O+NO+N₂O→ NO₂+N₂O,,-1.2,-5.1,1.66E-32,,,473,N₂O/Hg* (P.),,216,,"Singleton, D. L., Furuyama, S., and Cvetanovic, R. J., J. Chem. Phys., 63, 1003, 1975."
630,O+NO+N₂O→ NO₂+N₂O,,-1.6,-6.7,7.25E-33,,,298,N₂O/Hg* (P.),,217,197,"Atkinson, R. and Cvetanović, R. J., J. Chem. Phys., 56, 432, 1972."
631,O+NO+N₂O→ NO₂+N₂O,,-1.6,-6.7,7.25E-33,,,473,N₂O/Hg* (P.),,217,197,"Atkinson, R. and Cvetanović, R. J., J. Chem. Phys., 56, 432, 1972."
632,O+NO+N₂O→ NO₂+N₂O,,,,,1.18E-31,0,294,N₂O/Hg* (P.),,218,209,"Atkinson, R. and Pitts, J. N., J. Phys. Chem., 78, 1780, 1974."
633,O+NO+N₂→ NO₂+N₂,,,,,20.8E-32,0,217,,,212,,"Whytock, D. A., Michael, J. V., and Payne, W. A., Chem. Phys. Lett., 42, 466, 1976."
634,O+NO+N₂→ NO₂+N₂,,,,,17.2E-32,0,252,,,212,,"Whytock, D. A., Michael, J. V., and Payne, W. A., Chem. Phys. Lett., 42, 466, 1976."
635,O+NO+N₂→ NO₂+N₂,,,,,11.5E-32,0,298,,,212,,"Whytock, D. A., Michael, J. V., and Payne, W. A., Chem. Phys. Lett., 42, 466, 1976."
636,O+NO+N₂→ NO₂+N₂,,,,,7.4E-32,0,355,,,212,,"Whytock, D. A., Michael, J. V., and Payne, W. A., Chem. Phys. Lett., 42, 466, 1976."
637,O+NO+N₂→ NO₂+N₂,,,,,6.24E-32,0,418,,,212,,"Whytock, D. A., Michael, J. V., and Payne, W. A., Chem. Phys. Lett., 42, 466, 1976."
638,O+NO+N₂→ NO₂+N₂,,,,,4.92E-32,0,500,,,212,,"Whytock, D. A., Michael, J. V., and Payne, W. A., Chem. Phys. Lett., 42, 466, 1976."
640,O+NO+N₂→ NO₂+N₂,,,,,6.32E-32,0,295,,,206,209,"Baulch, D. L., Drysdale, D. D., Horne, D. G., and Lloyd, A. C., Evaluated Kinetic Data for High Temperature Reactions, Vol. II, Butterworths, Lon- don, 1973."
641,O+NO+N₂→ NO₂+N₂,,,,,8.14E-32,0,297,NO₂ (P.),,224,209,"Harker, A. B. and Johnston, H. S., J. Phys. Chem., 77, 1153, 1973."
642,O+SO+N₂→ SO₂+N₂,,,,,1.86E-31,0,298,,,219,209,"Baulch, D. L., Drysdale, D. D., Duxbury, J., and Grant, S., Evaluated Ki- netic Data for High Temperature Reactions, Vol. III, Butterworths, London, 1976."
643,S+CS+Ar→CS₂+Ar,,-8.7,-36.3,2.40E-34,,,1800,,,220,209,"Cross, P. J. and Husain, D., J. Photochem., 7, 157, 1977."
644,S+CS+Ar→CS₂+Ar,,-8.7,-36.3,2.40E-34,,,3700,,,220,194,"Cross, P. J. and Husain, D., J. Photochem., 7, 157, 1977."
645,Pb+NO+He→ Products,,,,,2.00E-30,0,300,PbEt₄ - pulse irraditation,,220,207,"Cross, P. J. and Husain, D., J. Photochem., 7, 157, 1977."
646,Pb+NO+N₂→ Products,,,,,1.20E-30,0,300,PbEt₄ - pulse irraditation,,220,219,"Cross, P. J. and Husain, D., J. Photochem., 7, 157, 1977."
647,Pb+NO+CO→ Products,,,,,2.57E-31,0,300,PbEt₄ - pulse irraditation,,220,197,"Cross, P. J. and Husain, D., J. Photochem., 7, 157, 1977."
648,Pb+NO+CO₂→ Products,,,,,1.70E-30,0,300,PbEt₄ - pulse irraditation,,220,"213,214","Cross, P. J. and Husain, D., J. Photochem., 7, 157, 1977."
649,Pb+NO+CH₄→ Products,,,,,7.09E-31,0,300,PbEt₄ - pulse irraditation,,220,197,"Cross, P. J. and Husain, D., J. Photochem., 7, 157, 1977."
650,Pb+NO+CF₄→ Products,,,,,3.09E-30,0,300,PbEt₄ - pulse irraditation,,220,210,"Cross, P. J. and Husain, D., J. Photochem., 7, 157, 1977."
651,Pb+NO+SF₆→ Products,,,,,8.72E-31,0,300,PbEt₄ - pulse irraditation,,220,210,"Cross, P. J. and Husain, D., J. Photochem., 7, 157, 1977."
652,Pb+NO+C₂H₆→ Products,,,,,1.00E-30,0,300,PbEt₄ - pulse irraditation,,220,210,"Cross, P. J. and Husain, D., J. Photochem., 7, 157, 1977."
653,H+O₂+H₂O→HO₂+H₂O,,,,,6.40E-31,,298,,,225,,"Hsu, K. J., Durant, J. L. and Kaufman, F., J. Phys. Chem., 91, 1895, 1987."
