Reactant(s),M,E/kcal mol⁻¹,E/KJ mol⁻¹,A,k,n,Temp./K,Radical Source,Reference,Notes
Br+Br,Ar,,,,6.61E-33,0,300,Br₂ (F.P.),20,13
Br+Br,Ar,,,,See Additional Notes -0,,,,,
Br+Br,Kr,,,,8.52E-33,0,300,Br₂ (F.P.),20,13
Br+Br,Xe,,,,1.12E-32,0,300,Br₂ (F.P.),21,13
Br+Br,N₂,,,,8.72E-33,0,300,Br₂ (F.P.),20,13
Br+Br,N₂,,,,8.33E-33,0,298,"O+Br₂→BrO+Br
O+BrO→O₂+Br
",19,12
Br+Br,O₂,,,,1.20E-32,0,298,"O+Br₂→BrO+Br
O+BrO→O₂+Br
",19,12
Br+Br,O₂,,,,1.62E-32,0,300,Br₂ (F.P.),20,13
Br+Br,Br₂,,,,8.33E-32,0,298,Br₂ discharge ,19,12
Br+Br,HBr,,,,2.29E-33,0,1417,flame,22,
Br+Br,CF₄,,,,3.09E-32,0,300,Br₂ (F.P.),21,13
Br+Br,CH₃Cl,,,,9.56E-32,0,Room Temp.,Br₂ (F.P.),23,
Br+Br,C₂H₅Cl,,,,1.48E-31,0,Room Temp.,Br₂ (F.P.),23,
Br+Br,CH₃Br,,,,3.32E-31,0,Room Temp.,Br₂ (F.P.),23,
Br+Br,C₂H₅Br,,,,6.93E-31,0,Room Temp.,Br₂ (F.P.),23,
Br+Br,C₆H₆,,,,1.45E-30,0,Room Temp.,Br₂ (F.P.),23,14
Br+Br,SF₆,,,,3.17E-32,0,300,Br₂ (F.P.),21,13
I+I,He,,,,See Additional Notes -1,,,,,
I+I,He,,,,7.77E-33,0,206,I₂ (F.P),24a,
I+I,Ar,,,,See Additional Notes -2,,,,,
I+I,Ar,,,,8.33E-33,0,298,I₂ (F.P),25,
I+I,Ar,,,,2.19E-32,0,206,I₂ (F.P),24a,
I+I,Ar,,,,8.27E-33,-1.56,500,I₂ (S.T),24b,
I+I,Ar,,,,8.27E-33,-1.56,1450,I₂ (F.P),24b,
I+I,Xe,,,,See Additional Notes -3,,,,,
I+I,Xe,,,,4.37E-32,0,206,I₂ (F.P),24a,
I+I,H₂,,,,2.14E-32,0,206,I₂ (F.P),24a,
I+I,D₂,,,,2.14E-32,0,206,I₂ (F.P),24a,
I+I,N₂,,,,See Additional Notes -4,,,,,
I+I,NO,,,,6.61E-29,0,Room Temp.,CH₃I (F.P.),26,
I+I,O₂,,,,See Additional Notes -5,,,,,
I+I,CO,,,,See Additional Notes -6,,,,,
I+I,I₂,,,,See Additional Notes -7,,,,,
I+I,ICl,,,,2.46E-30,0,325,ICl (F.P.),27,15
I+I,HCl,,,,See Additional Notes -8,,,,,
I+I,DCl,,,,4.27E-32,0,300,I₂ (F.P),28,
I+I,HBr,,,,See Additional Notes -9,,,,,
I+I,HI,,,,See Additional Notes -10,,,,,
I+I,CH₃Cl,,,,1.10E-31,0,Room Temp.,I₂ (F.P),23,16
I+I,C₂H₅Cl,,,,1.59E-31,0,Room Temp.,I₂ (F.P),23,16
I+I,CH₃Br,,,,1.48E-31,0,Room Temp.,I₂ (F.P),23,16
I+I,SO₂,,,,See Additional Notes -11,,,,,
I+Cl,N₂,,,,1.70E-31,0,325,ICl (F.P.),27,15
I+Cl,CO₂,,,,4.27E-31,0,325,ICl (F.P.),27,15
I+Cl,ICl,,,,1.20E-30,0,325,ICl (F.P.),27,15
