Reaction,(E/R)/K,A,k,n,Temp./K,Radical Source,System,Reference,Notes
O+O₂+M → O₃+ M,,,6.34E-34,-1.9,360,,,39,"57,58"
O+O₂+M → O₃+ M,-715,,,0,366,,,40,"57,62"
O+O₂+M → O₃+ M,,,5.76E-34,-2.57,366,,,40,"57,62"
O+O₂+M → O₃+ M,,,6.07E-34,-2.3,300,,,58,"57,86"
O+O₂+M → O₃+ M,,4.68E-36,,0,300,,,58,"30,44,52"
O+CO+M→CO₂+M,-2300,7.77E-35,,0,2200,See Notes,See Notes,3,3
O+CO+M→CO₂+M,805,,,0,433,CO/O₃ (T),Relative,53,"80,81"
O+CO+He→CO₂+He,,,1.00E-35,0,294,CO (Pulse radiolysis),Direct,20,10
O+CO₂+He→CO₃+He,,,2.76E-35,0,294,CO (Pulse radiolysis),Direct,20,10
O+CO+CO → CO₂ + CO,,,<4.3701686298E-36,0,296,CO₂ (Pulse radiolysis),Direct,20,10
O+SO₂+ M → SO₃ + M,,,2.04E-33,0,2250,CH₄/H₂S/air flame,See Notes,30,38
O+SO₂+ M → SO₃ + M,-3163,1.20E-33,,0,1435,CO/SO₂/O₂/Ar flame,See Notes,29,37
O+SO₂+ M → SO₃ + M,1000,4.08E-32,,0,200,,,58,"64,86,87"
O+SO₂+ M → SO₃ + M,-3163,1.20E-33,,0,1850,CO/SO₂/O₂/Ar flame,See Notes,29,37
O+SO₂+ M → SO₃ + M,1000,4.08E-32,,0,400,,,58,"64,86,87"
O+SO₂+ M → SO₃ + M,,,1.41E-33,0,298,,,58,"30,64,87"
O+SO₂+ N₂ → SO₃ + N₂ ,,,1.35E-33,0,299,SO₂/NO (F.P),Direct,6,6
O+SO₂+ Ar → SO₃ + Ar,1010,3.09E-32,,0,299-400,SO₂/NO (F.P),Direct,6,6
O+SO₂+ SO₂ → SO₃ + SO₂,,,9.56E-33,0,299,SO₂/NO (F.P),Direct,6,6
F+O₂ + M → FO₂ + M ,-905,2.76E-34,,0,223,F₂ discharge,Direct,46,"74,75"
F+O₂ + M → FO₂ + M ,-905,2.76E-34,,0,293,F₂ discharge,Direct,46,"74,75"
F+O₂ + M → FO₂ + M ,,,3.17E-33,0,296,F₂ (Laser P),Direct,16,16
F+O₂ + M → FO₂ + M ,,,3.72E-33,0,295,F₂ (Laser F.P.),Direct,17,"16,17"
